time,open,high,low,close,tick_volume,spread,real_volume
2023-08-28 07:00:00,1.08161,1.08209,1.0808,1.08089,1841,0,0
2023-08-28 08:00:00,1.08089,1.08106,1.07994,1.08006,1616,0,0
2023-08-28 09:00:00,1.08006,1.08092,1.08002,1.08078,1352,0,0
2023-08-28 10:00:00,1.08077,1.08223,1.08059,1.08118,1656,0,0
2023-08-28 11:00:00,1.08118,1.08128,1.0803,1.08044,1542,0,0
2023-08-28 12:00:00,1.08043,1.08113,1.08025,1.08103,2490,0,0
2023-08-28 13:00:00,1.08101,1.08132,1.07993,1.08073,3253,0,0
2023-08-28 14:00:00,1.08072,1.08141,1.07989,1.08057,3140,0,0
2023-08-28 15:00:00,1.08058,1.08102,1.08029,1.08091,2260,0,0
2023-08-28 16:00:00,1.08091,1.08125,1.0804,1.08076,1130,0,0
2023-08-28 17:00:00,1.08076,1.08111,1.0804,1.08087,1187,0,0
2023-08-28 18:00:00,1.08086,1.08121,1.08056,1.08116,873,0,0
2023-08-28 19:00:00,1.08116,1.08199,1.0809,1.08179,962,0,0
2023-08-28 20:00:00,1.0818,1.08193,1.08152,1.08176,480,0,0
2023-08-28 21:00:00,1.08183,1.08193,1.08136,1.08181,332,15,0
2023-08-28 22:00:00,1.08179,1.08264,1.08177,1.08259,279,0,0
2023-08-28 23:00:00,1.08251,1.08298,1.08243,1.08257,417,0,0
2023-08-29 00:00:00,1.08257,1.08316,1.08213,1.08238,980,0,0
2023-08-29 01:00:00,1.08238,1.08369,1.08234,1.08348,1086,0,0
2023-08-29 02:00:00,1.08348,1.08358,1.08297,1.08357,899,0,0
2023-08-29 03:00:00,1.08357,1.08384,1.0833,1.08363,623,0,0
2023-08-29 04:00:00,1.08362,1.08364,1.08242,1.08243,400,0,0
2023-08-29 05:00:00,1.08243,1.08261,1.08208,1.08217,875,0,0
2023-08-29 06:00:00,1.08218,1.08234,1.08085,1.08088,1365,0,0
2023-08-29 07:00:00,1.08088,1.08297,1.08088,1.08203,2265,0,0
2023-08-29 08:00:00,1.0820400000000001,1.08228,1.08084,1.08102,2178,0,0
2023-08-29 09:00:00,1.08102,1.08159,1.08057,1.08136,1909,0,0
2023-08-29 10:00:00,1.08136,1.08162,1.08041,1.08066,1745,0,0
